cena,rmse,psnr_db,ssim
ashikhmin,0.113721,18.8832,0.629777
cook_torrance,0.133234,17.5077,0.627797
disney,0.119837,18.4282,0.679131
oren_nayar,0.069469,23.1642,0.957151
phong_spheres,0.063848,23.8971,0.971730
ward,0.105570,19.5292,0.757582
